class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21
A,0.5308032035827637,0.5811627507209778,0.41399019956588745,0.5011489987373352,0.35540688037872314,0.36922329664230347,0.3455173969268799,0.2635343372821808,0.3542504906654358,0.1790803223848343,0.43713387846946716,0.2688208818435669,0.40587490797042847,0.21799370646476746,0.39607352018356323,0.31936028599739075,0.3984611928462982,0.4019526243209839,0.5164436101913452,0.27980852127075195,0.47243598103523254,0.2482132911682129,0.46382346749305725,0.36122211813926697,0.471820205450058,0.4475005567073822,0.5926409959793091,0.30420994758605957,0.5377161502838135,0.2932094633579254,0.5284098386764526,0.40027645230293274,0.5340369343757629,0.4769814610481262,0.6649999618530273,0.33857738971710205,0.6057409048080444,0.3204992115497589,0.5884473919868469,0.4008847177028656,0.5941259264945984,0.45536327362060547
A,0.5036643743515015,0.6166728138923645,0.3775118887424469,0.536616861820221,0.31785210967063904,0.40811124444007874,0.30645012855529785,0.29659491777420044,0.31666964292526245,0.2101580649614334,0.4065191447734833,0.3001185655593872,0.36350515484809875,0.24617943167686462,0.3575039207935333,0.3428918123245239,0.3596601188182831,0.4184672236442566,0.48929303884506226,0.30119621753692627,0.43240582942962646,0.2815341353416443,0.42693692445755005,0.3871033787727356,0.43054771423339844,0.4706186056137085,0.5658169984817505,0.3187968134880066,0.4939878284931183,0.32934337854385376,0.48976778984069824,0.4299367070198059,0.49461913108825684,0.5084902048110962,0.6354045867919922,0.3499538004398346,0.5617150068283081,0.3593493700027466,0.5465412139892578,0.4405632019042969,0.551058292388916,0.4982626140117645
A,0.2678075134754181,0.6706790924072266,0.18736037611961365,0.6102149486541748,0.14113980531692505,0.5031031966209412,0.13363796472549438,0.422245591878891,0.13898909091949463,0.35856693983078003,0.19330774247646332,0.44410279393196106,0.20523102581501007,0.3804134130477905,0.21410904824733734,0.4419887065887451,0.21003739535808563,0.5053192973136902,0.2571600079536438,0.45669519901275635,0.26692426204681396,0.3959081172943115,0.26983335614204407,0.47529298067092896,0.258746474981308,0.547574520111084,0.31637001037597656,0.4771977961063385,0.321127712726593,0.4365765452384949,0.3161013126373291,0.5198830366134644,0.29891952872276306,0.5863361954689026,0.3687060475349426,0.5040982365608215,0.369880735874176,0.46158695220947266,0.3622123599052429,0.5172693133354187,0.34950748085975647,0.5657080411911011
A,0.2890907824039459,0.7517790198326111,0.16796183586120605,0.654705286026001,0.10000669956207275,0.4994848072528839,0.09510749578475952,0.37124431133270264,0.12244942784309387,0.26761001348495483,0.21696345508098602,0.37814241647720337,0.18208248913288116,0.3061836361885071,0.16810576617717743,0.4145161211490631,0.16618448495864868,0.5079909563064575,0.3014179468154907,0.39658841490745544,0.25423991680145264,0.3424416780471802,0.23803018033504486,0.4766515791416168,0.23280707001686096,0.5816081762313843,0.38106828927993774,0.43143075704574585,0.3224688172340393,0.3973870277404785,0.3024071753025055,0.5289551615715027,0.29472488164901733,0.6246271729469299,0.4578455090522766,0.4804125726222992,0.3936866223812103,0.4555529057979584,0.3653656542301178,0.5474972724914551,0.3563346564769745,0.6128048896789551
A,0.2851601243019104,0.7628031969070435,0.16119658946990967,0.6677225232124329,0.0944528728723526,0.5121002793312073,0.09064443409442902,0.38393232226371765,0.11356736719608307,0.2790718078613281,0.20708800852298737,0.39108896255493164,0.17438429594039917,0.3183819353580475,0.1613171398639679,0.42897212505340576,0.15906205773353577,0.5215135216712952,0.2917826771736145,0.4075862765312195,0.243857279419899,0.35470667481422424,0.22922557592391968,0.4878895878791809,0.22757120430469513,0.5893818736076355,0.3720439374446869,0.44108325242996216,0.3138412535190582,0.4079000651836395,0.29682883620262146,0.5416226387023926,0.29264384508132935,0.6354244947433472,0.4502706825733185,0.48960602283477783,0.38829609751701355,0.46693241596221924,0.36108431220054626,0.5606430172920227,0.35280415415763855,0.6239750981330872
B,0.4635184407234192,0.9268637895584106,0.3214346170425415,0.8598466515541077,0.24223625659942627,0.7427689433097839,0.2995601296424866,0.6418054103851318,0.3971575200557709,0.6209858059883118,0.32202890515327454,0.5533060431480408,0.3269616961479187,0.4029000401496887,0.3390153646469116,0.3148098289966583,0.3527272939682007,0.23737287521362305,0.40472665429115295,0.5396215915679932,0.40494585037231445,0.3717508018016815,0.4133535325527191,0.26992785930633545,0.422845721244812,0.18525126576423645,0.476121187210083,0.5540357828140259,0.48202648758888245,0.39503422379493713,0.48698240518569946,0.2988967299461365,0.49169957637786865,0.22187846899032593,0.5555757880210876,0.5969675183296204,0.5593151450157166,0.4732207953929901,0.556954026222229,0.3947465717792511,0.5549988746643066,0.32811641693115234
B,0.4571102261543274,0.9291743040084839,0.3206107020378113,0.8756622076034546,0.23717471957206726,0.7486940622329712,0.29930561780929565,0.6424356698989868,0.41194140911102295,0.6330836415290833,0.3219558596611023,0.5631944537162781,0.31807053089141846,0.41390758752822876,0.3304275870323181,0.3192317485809326,0.3455587923526764,0.2396247684955597,0.4020039439201355,0.549053430557251,0.39957690238952637,0.38356244564056396,0.4067050516605377,0.2802174687385559,0.4143029749393463,0.19539102911949158,0.4727548360824585,0.5666838884353638,0.47530704736709595,0.40633684396743774,0.47588518261909485,0.30684417486190796,0.47958654165267944,0.23117929697036743,0.5483540296554565,0.6076865792274475,0.5496935248374939,0.47966232895851135,0.5455334186553955,0.3996998071670532,0.5427407026290894,0.33266860246658325
B,0.5094628930091858,0.761405348777771,0.38494598865509033,0.7354432940483093,0.2875754237174988,0.658382773399353,0.30189332365989685,0.5604954957962036,0.37650376558303833,0.4977065920829773,0.3511034846305847,0.4684641659259796,0.333438515663147,0.33771172165870667,0.3426651656627655,0.2525525689125061,0.35699787735939026,0.17662125825881958,0.42077958583831787,0.44313323497772217,0.40844905376434326,0.298589289188385,0.4119780659675598,0.20998889207839966,0.41713109612464905,0.13002648949623108,0.4840662479400635,0.4493355453014374,0.4763561487197876,0.3094291388988495,0.4735069274902344,0.22702254354953766,0.47443848848342896,0.15595558285713196,0.5546039342880249,0.4784119129180908,0.5478321313858032,0.37112054228782654,0.5423463582992554,0.3057379126548767,0.5357275009155273,0.24597910046577454
B,0.5213682651519775,0.8092190027236938,0.4042525291442871,0.7717500925064087,0.3243553638458252,0.6771625280380249,0.365986168384552,0.5911617279052734,0.44670170545578003,0.5518345236778259,0.37356942892074585,0.5146599411964417,0.3507515490055084,0.3914380669593811,0.3440679609775543,0.3104005455970764,0.3399450480937958,0.24009591341018677,0.44141167402267456,0.49203675985336304,0.41925403475761414,0.35746777057647705,0.4054579436779022,0.2693421244621277,0.39526671171188354,0.19496792554855347,0.5065397024154663,0.4994526207447052,0.4911324381828308,0.3676280975341797,0.4800094962120056,0.2837541997432709,0.47107914090156555,0.21483966708183289,0.5734909176826477,0.5320122838020325,0.563481867313385,0.42491549253463745,0.5528310537338257,0.35920459032058716,0.5423456430435181,0.3025361895561218
B,0.5334519147872925,0.8139740228652954,0.4172965884208679,0.777006208896637,0.3362704813480377,0.6793890595436096,0.3772818148136139,0.591607928276062,0.4584651291370392,0.5517421960830688,0.38323548436164856,0.5139483213424683,0.3528400957584381,0.3886086940765381,0.34375977516174316,0.3072534501552582,0.3399098515510559,0.23694247007369995,0.4520108103752136,0.4921171963214874,0.42532533407211304,0.35499894618988037,0.4105118215084076,0.2653495669364929,0.40031909942626953,0.1905563473701477,0.5188294649124146,0.5005630254745483,0.5052574276924133,0.3681608736515045,0.4973610043525696,0.2828167974948883,0.4909711480140686,0.21350473165512085,0.5866299867630005,0.5333995223045349,0.5786154270172119,0.42671796679496765,0.569308876991272,0.35999685525894165,0.5588124990463257,0.30316269397735596
